resc,labelDe,labelEn
http://dbpedia.org/resource/1897,1897,1897
http://dbpedia.org/resource/2060_Chiron,(2060) Chiron,Chiron
http://dbpedia.org/resource/243_Ida,(243) Ida,243 Ida
http://dbpedia.org/resource/253_Mathilde,(253) Mathilde,253 Mathilde
http://dbpedia.org/resource/2_Pallas,(2) Pallas,2 Pallas
http://dbpedia.org/resource/3753_Cruithne,(3753) Cruithne,3753 Cruithne
http://dbpedia.org/resource/4179_Toutatis,(4179) Toutatis,4179 Toutatis
http://dbpedia.org/resource/433_Eros,(433) Eros,433 Eros
http://dbpedia.org/resource/4769_Castalia,(4769) Castalia,4769 Castalia
http://dbpedia.org/resource/588_Achilles,(588) Achilles,588 Achilles
http://dbpedia.org/resource/61_Cygni,61 Cygni,61 Cygni
http://dbpedia.org/resource/70_Virginis,70 Virginis,70 Virginis
"http://dbpedia.org/resource/Acre,_Israel",Akkon,Acre
"http://dbpedia.org/resource/Acre,_Israel",Akkon,عكّا
http://dbpedia.org/resource/Adirondack_Mountains,Adirondack Mountains,Adirondack Mountains
http://dbpedia.org/resource/Albireo,Albireo,Albireo
http://dbpedia.org/resource/Albula_Alps,Albula-Alpen,Albula Alps
http://dbpedia.org/resource/Almohad_Caliphate,Almohaden,Almohad Caliphate
http://dbpedia.org/resource/Almohad_Caliphate,Almohaden,Almohads
http://dbpedia.org/resource/Ashkelon,Aschkelon,Ashkelon
http://dbpedia.org/resource/Ashkelon,Aschkelon,"Ashqelon, Ascalon"
http://dbpedia.org/resource/Ashkelon,Aschkelon,عسقلان
http://dbpedia.org/resource/Bernese_Alps,Berner Alpen,Bernese Alps
http://dbpedia.org/resource/Betelgeuse,Beteigeuze,Betelgeuse
http://dbpedia.org/resource/Blackfriars_Bridge,Blackfriars Bridge,Blackfriars Bridge
http://dbpedia.org/resource/Brooklyn_Bridge,Brooklyn Bridge,Brooklyn Bridge
http://dbpedia.org/resource/Campania,Kampanien,Campania
http://dbpedia.org/resource/Cape_Colony,Kapkolonie,Cape Colony
http://dbpedia.org/resource/Cape_Colony,Kapkolonie,Cape of Good Hope
http://dbpedia.org/resource/Carpathian_Mountains,Karpaten,Carpathians
http://dbpedia.org/resource/Castile_(historical_region),Kastilien,Castile
http://dbpedia.org/resource/Castile_(historical_region),Kastilien,Castilla
